data_year,model_year,brand,model,fail_pct,reason_1,reason_2,reason_3,checked_cars,driven_avg,driven_med
2019,2008,Opel,ZAFIRA,41.28,Ohjausnivelet ja -tangot,Seisontajarrun dynamometritesti,Jousitus ja iskunvaimennus,441,243000,237000
2019,2008,Peugeot,206,18.94,Etuakselisto,Ohjausnivelet ja -tangot,Käyttöjarru,264,121000,114000
2019,2008,Peugeot,207,32.44,Etuakselisto,Käyttöjarrun dynamometritesti,Seisontajarrun dynamometritesti,1474,149000,138000
2019,2008,Peugeot,307,32.38,Ohjausnivelet ja -tangot,Etuakselisto,Dieselmoottorin pakokaasumittaus,658,207000,201000
2019,2008,Peugeot,308,30.42,Jousitus ja iskunvaimennus,Etuakselisto,Ohjausnivelet ja -tangot,1851,187000,177000
2019,2008,Peugeot,407,22.03,Etuakselisto,Käyttöjarru,Seisontajarrun dynamometritesti,799,213000,206000
2019,2008,Peugeot,PARTNER,33.78,Ohjausnivelet ja -tangot,Etuakselisto,Dieselmoottorin pakokaasumittaus,148,217000,213000
2019,2008,Renault,CLIO,36.22,Ohjausnivelet ja -tangot,Etuakselisto,Jousitus ja iskunvaimennus,428,137000,129000
2019,2008,Renault,LAGUNA,24.1,Jousitus ja iskunvaimennus,Käyttöjarru,,390,216000,213000
2019,2008,Renault,MEGANE,35.4,Etuakselisto,Ohjausnivelet ja -tangot,Käyttöjarru,435,189000,180000
2019,2008,Renault,MEGANE SCENIC,38.88,Etuakselisto,Ohjausnivelet ja -tangot,,283,192000,186000
2019,2008,Renault,TWINGO,19.88,Ohjausnivelet ja -tangot,,,171,103000,98000
2019,2008,Saab,9-3,26.4,Taka-akselisto,Jousitus ja iskunvaimennus,Etuakselisto,1307,229000,226000
2019,2008,Saab,9-5,22.69,Taka-akselisto,Seisontajarrun dynamometritesti,Sisäinen valvontajärjestelmä (OBD),291,219000,217000
2019,2008,Seat,ALTEA,19.4,Jousitus ja iskunvaimennus,,,134,228000,225000
2019,2008,Seat,ALTEA XL,21.27,Jousitus ja iskunvaimennus,Käyttöjarrun dynamometritesti,,550,231000,229000
2019,2008,Seat,CORDOBA,20.42,Seisontajarrun dynamometritesti,,,142,217000,218000
2019,2008,Seat,IBIZA,19.8,Käyttöjarru,Seisontajarrun dynamometritesti,Jousitus ja iskunvaimennus,298,165000,157000
2019,2008,Seat,LEON,20.81,Jousitus ja iskunvaimennus,Käyttöjarru,Käyttöjarrun dynamometritesti,543,212000,209000
2019,2008,Skoda,FABIA,22.08,Jousitus ja iskunvaimennus,Käyttöjarru,Seisontajarrun dynamometritesti,1363,173000,161000
