,model_year,brand,model,checked_cars,fail_pct,driven_avg,driven_med,reason_1,reason_2,reason_3
966,2008,Volkswagen,JETTA,1235,12.47,183000,175000,Jousitus ja iskunvaimennus,Dieselmoottorin pakokaasumittaus,Käyttöjarru
967,2008,Volkswagen,PASSAT,4523,13.6,233000,230000,Jousitus ja iskunvaimennus,Renkaat ja vanteet,Dieselmoottorin pakokaasumittaus
968,2008,Volkswagen,POLO,1284,13.01,121000,110000,Etuakselisto,Seisontajarrun dynamometritesti,Käyttöjarrun dynamometritesti
969,2008,Volkswagen,TIGUAN,1206,9.78,197000,185000,Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD),Etuakselisto
970,2008,Volkswagen,TOURAN,1140,18.06,210000,201000,Jousitus ja iskunvaimennus,Käyttöjarru,Renkaat ja vanteet
971,2008,Volkswagen,TRANSPORTER,342,34.5,379000,408000,Ohjausnivelet ja -tangot,Jousitus ja iskunvaimennus,Seisontajarrun dynamometritesti
972,2008,Volvo,C30,478,15.27,139000,133000,Etuakselisto,Jousitus ja iskunvaimennus,Renkaat ja vanteet
973,2008,Volvo,C70,804,11.19,230000,224000,Taka-akselisto,Jousitus ja iskunvaimennus,Ohjausnivelet ja -tangot
974,2008,Volvo,S40,1033,18.69,162000,156000,Etuakselisto,Jousitus ja iskunvaimennus,Käyttöjarru
975,2008,Volvo,S60,870,21.48,200000,191000,Seisontajarrun dynamometritesti,Jousitus ja iskunvaimennus,Etuakselisto
976,2008,Volvo,S80,733,19.66,237000,226000,Seisontajarrun dynamometritesti,Ohjausnivelet ja -tangot,Renkaat ja vanteet
977,2008,Volvo,V50,2429,21.73,197000,195000,Etuakselisto,Jousitus ja iskunvaimennus,Renkaat ja vanteet
978,2008,Volvo,V70,4113,14.66,252000,238000,Ohjausnivelet ja -tangot,Käyttöjarru,Taka-akselisto
979,2008,Volvo,XC60,222,9.46,207000,200000,,,
980,2008,Volvo,XC90,226,26.11,214000,212000,Seisontajarrun dynamometritesti,Jousitus ja iskunvaimennus,Etuakselisto
981,2009,Audi,A3,1085,8.85,142000,135000,Jousitus ja iskunvaimennus,Bensiinimoottorin pakokaasumittaus,Käyttöjarrun dynamometritesti
982,2009,Audi,A4,2466,6.41,178000,172000,Etuakselisto,Jousitus ja iskunvaimennus,Käyttöjarru
983,2009,Audi,A5,359,6.96,150000,144000,,,
984,2009,Audi,A6,1159,7.85,199000,193000,Etuakselisto,Renkaat ja vanteet,
985,2009,Audi,Q5,500,6.8,177000,173000,Etuakselisto,,
986,2009,Audi,Q7,109,13.76,183000,182000,Etuakselisto,,
987,2009,BMW,1,633,12.16,137000,128000,Taka-akselisto,Käyttöjarru,Jousitus ja iskunvaimennus
988,2009,BMW,3,1917,19.1,170000,162000,Taka-akselisto,Jousitus ja iskunvaimennus,Käyttöjarru
989,2009,BMW,5,1488,17.88,206000,196000,Ohjausnivelet ja -tangot,Käyttöjarru,Renkaat ja vanteet
990,2009,BMW,7,114,9.65,154000,151000,,,
991,2009,BMW,X1,101,26.73,159000,155000,Etuakselisto,Taka-akselisto,Seisontajarrun dynamometritesti
992,2009,BMW,X3,100,9.0,175000,181000,,,
993,2009,BMW,X5,231,10.82,180000,179000,Etuakselisto,,
994,2009,BMW,X6,134,13.43,183000,168000,,,
995,2009,Chevrolet,AVEO,410,26.1,95000,91000,Etuakselisto,Käyttöjarrun dynamometritesti,Käyttöjarru
996,2009,Chevrolet,NUBIRA,149,27.52,154000,149000,Käyttöjarru,Seisontajarrun dynamometritesti,
997,2009,Chrysler,300C,109,40.38,171000,158000,Seisontajarrun dynamometritesti,Taka-akselisto,Etuakselisto
998,2009,Citroen,BERLINGO,177,24.86,159000,150000,Etuakselisto,Käyttöjarru,Ohjausnivelet ja -tangot
999,2009,Citroen,C2,117,11.11,87000,87000,,,
1000,2009,Citroen,C3,212,10.38,85000,76000,,,
1001,2009,Citroen,C3 PICASSO,286,33.22,125000,114000,Etuakselisto,Ohjausnivelet ja -tangot,Dieselmoottorin pakokaasumittaus
1002,2009,Citroen,C4,353,26.62,128000,118000,Ohjausnivelet ja -tangot,Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
1003,2009,Citroen,C4 PICASSO,214,21.5,172000,156000,Etuakselisto,Jousitus ja iskunvaimennus,
1004,2009,Citroen,C5,733,20.33,186000,175000,Etuakselisto,Ohjausnivelet ja -tangot,Käyttöjarru
1005,2009,Dodge,AVENGER,226,22.56,147000,131000,Sisäinen valvontajärjestelmä (OBD),Etuakselisto,Käyttöjarru
1006,2009,Dodge,CALIBER,235,53.2,147000,145000,Taka-akselisto,Etuakselisto,Ohjausnivelet ja -tangot
1007,2009,Dodge,JOURNEY,339,44.53,182000,178000,Etuakselisto,Seisontajarrun dynamometritesti,Ohjausnivelet ja -tangot
1008,2009,Fiat,500,131,19.84,89000,85000,Jousitus ja iskunvaimennus,,
1009,2009,Fiat,BRAVO,164,18.9,133000,121000,Käyttöjarrun dynamometritesti,,
1010,2009,Fiat,LINEA,307,16.61,115000,110000,Jousitus ja iskunvaimennus,,
1011,2009,Fiat,PUNTO,537,21.42,95000,89000,Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD),
1012,2009,Ford,FIESTA,1658,18.03,106000,97000,Ohjausnivelet ja -tangot,Etuakselisto,Jousitus ja iskunvaimennus
1013,2009,Ford,FOCUS,2715,16.94,144000,135000,Etuakselisto,Jousitus ja iskunvaimennus,Dieselmoottorin pakokaasumittaus
1014,2009,Ford,FOCUS C-MAX,192,17.19,150000,146000,Etuakselisto,Jousitus ja iskunvaimennus,Renkaat ja vanteet
1015,2009,Ford,FUSION,255,5.1,95000,94000,,,
1016,2009,Ford,GALAXY,120,15.83,220000,212000,,,
1017,2009,Ford,KA,420,17.86,85000,81000,Etuakselisto,Jousitus ja iskunvaimennus,Käyttöjarrun dynamometritesti
1018,2009,Ford,KUGA,213,8.92,189000,183000,Jousitus ja iskunvaimennus,,
1019,2009,Ford,MONDEO,2044,16.44,201000,194000,Taka-akselisto,Jousitus ja iskunvaimennus,Käyttöjarru
1020,2009,Ford,S-MAX,325,18.77,209000,201000,Jousitus ja iskunvaimennus,Taka-akselisto,Käyttöjarru
