,model_year,brand,model,fail_pct,reason_1,reason_2,reason_3
211,2011,Volkswagen,JETTA,6.76,Jousitus ja iskunvaimennus,Käyttöjarru,Käyttöjarrun dynamometritesti
212,2011,Volvo,V70,6.89,Renkaat ja vanteet,Käyttöjarru,Jousitus ja iskunvaimennus
213,2011,Volkswagen,GOLF,6.9,Jousitus ja iskunvaimennus,Käyttöjarrun dynamometritesti,Renkaat ja vanteet
214,2011,Renault,LAGUNA,6.99,Jousitus ja iskunvaimennus,Renkaat ja vanteet,Seisontajarrun dynamometritesti
215,2011,Opel,CORSA,7.02,Jousitus ja iskunvaimennus,Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
216,2011,Opel,ZAFIRA,7.08,,,
217,2011,Mercedes-Benz,B,7.34,Jousitus ja iskunvaimennus,Käyttöjarru,Renkaat ja vanteet
218,2011,Volkswagen,SCIROCCO,7.35,,,
219,2011,Citroen,DS3,7.74,,,
220,2011,Volkswagen,CADDY,7.76,Käyttöjarru,Seisontajarrun dynamometritesti,Jousitus ja iskunvaimennus
221,2011,Nissan,NOTE,7.76,Etuakselisto,Jousitus ja iskunvaimennus,Renkaat ja vanteet
222,2011,Ford,KUGA,7.82,Jousitus ja iskunvaimennus,Käyttöjarru,Kori
223,2011,Seat,ALTEA,7.85,Renkaat ja vanteet,Jousitus ja iskunvaimennus,Käyttöjarru
224,2011,Toyota,RAV4,7.93,Jousitus ja iskunvaimennus,Renkaat ja vanteet,Käyttöjarru
225,2011,Subaru,FORESTER,7.95,Taka-akselisto,Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
226,2011,Honda,INSIGHT,8.18,,,
227,2011,Kia,RIO,8.31,Jousitus ja iskunvaimennus,Käyttöjarru,Renkaat ja vanteet
228,2011,Saab,9-3,8.44,Taka-akselisto,Jousitus ja iskunvaimennus,Renkaat ja vanteet
229,2011,Mercedes-Benz,A,8.56,Jousitus ja iskunvaimennus,Seisontajarrun dynamometritesti,Käyttöjarru
230,2011,Kia,VENGA,8.56,Käyttöjarru,Jousitus ja iskunvaimennus,Käyttöjarrun dynamometritesti
231,2011,Hyundai,I 30,8.58,Seisontajarrun dynamometritesti,Etuakselisto,Käyttöjarrun dynamometritesti
232,2011,Citroen,C3,8.59,Etuakselisto,Sisäinen valvontajärjestelmä (OBD),Renkaat ja vanteet
233,2011,BMW,X6,8.66,Renkaat ja vanteet,Asiapaperit,
234,2011,Seat,EXEO,8.93,Etuakselisto,Renkaat ja vanteet,Käyttöjarru
235,2011,Chevrolet,SPARK,9.09,,,
236,2011,Ford,FIESTA,9.3,Ohjausnivelet ja -tangot,Renkaat ja vanteet,Etuakselisto
237,2011,Volkswagen,TOURAN,9.31,Käyttöjarru,Renkaat ja vanteet,Käyttöjarrun dynamometritesti
238,2011,Kia,CEED,9.36,Seisontajarrun dynamometritesti,Etuakselisto,Renkaat ja vanteet
239,2011,Mercedes-Benz,E,9.37,Seisontajarrun dynamometritesti,Jousitus ja iskunvaimennus,Renkaat ja vanteet
240,2011,Fiat,PUNTO,9.39,Seisontajarrun dynamometritesti,Sisäinen valvontajärjestelmä (OBD),Jousitus ja iskunvaimennus
241,2011,Hyundai,I20,9.41,Jousitus ja iskunvaimennus,Käyttöjarrun dynamometritesti,Käyttöjarru
242,2011,Subaru,LEGACY,9.44,Taka-akselisto,Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
